"country_of_origin" "count" "highest_score" "lowest_score" "mean_score"
"1" "Brazil" 132 88.83 70.67 82.4059090909091
"2" "Burundi" 2 83.33 80.33 81.83
"3" "China" 16 87.25 78 82.9275
"4" "Colombia" 183 86 72.83 83.1065573770492
"5" "Costa Rica" 51 87.17 71.75 82.7890196078431
"6" "Cote d?Ivoire" 1 79.33 79.33 79.33
"7" "Ecuador" 3 83.83 78.08 80.22
"8" "El Salvador" 21 85.58 79.67 83.0528571428571
"9" "Ethiopia" 44 90.58 80 85.4840909090909
"10" "Guatemala" 181 89.75 59.83 81.8465745856354
"11" "Haiti" 6 83.33 67.92 77.18
"12" "Honduras" 53 86.67 0 79.3575471698113
"13" "India" 14 83.5 75.08 81.0828571428571
"14" "Indonesia" 20 87.42 76.17 82.5655
"15" "Japan" 1 84.67 84.67 84.67
"16" "Kenya" 25 86.25 79.83 84.3096
"17" "Laos" 3 82.67 80.83 81.8333333333333
"18" "Malawi" 11 82.75 80.67 81.7118181818182
"19" "Mauritius" 1 80.5 80.5 80.5
"20" "Mexico" 236 87.17 68.33 80.8900847457627
"21" "Myanmar" 8 81.83 80 80.75
"22" "Nicaragua" 26 86.58 63.08 80.4580769230769
"23" "Panama" 4 85.83 80.75 83.7075
"24" "Papua New Guinea" 1 85.75 85.75 85.75
"25" "Peru" 10 88.75 77 82.526
"26" "Philippines" 5 82.92 75.83 80.834
"27" "Rwanda" 1 82.83 82.83 82.83
"28" "Taiwan" 75 86.58 77.67 82.0013333333333
"29" "Tanzania, United Republic Of" 40 86.5 80.33 82.3695
"30" "Thailand" 32 86.17 79.67 82.57375
"31" "Uganda" 36 86.83 80.5 83.4519444444445
"32" "United States" 10 87.92 77.17 84.433
"33" "United States (Hawaii)" 73 87.92 72.58 81.8204109589041
"34" "United States (Puerto Rico)" 4 83.75 79.08 81.7275
"35" "Vietnam" 8 83.17 73.75 81.20875
"36" "Zambia" 1 81.92 81.92 81.92
"37" NA 1 79.08 79.08 79.08
