"country_of_origin" "count" "highest_score" "lowest_score" "mean_score" "long" "lat" "group" "order" "subregion"
"1" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4858856201172 -27.7669925689697 2 80 "Ilha de Santa Catarina"
"2" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5545883178711 -27.8122081756592 2 81 "Ilha de Santa Catarina"
"3" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5421867370605 -27.5748043060303 2 82 "Ilha de Santa Catarina"
"4" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5051765441895 -27.4955062866211 2 83 "Ilha de Santa Catarina"
"5" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4647445678711 -27.4363288879395 2 84 "Ilha de Santa Catarina"
"6" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4148902893066 -27.3996086120605 2 85 "Ilha de Santa Catarina"
"7" "Brazil" 132 88.83 70.67 82.4059090909091 -48.3779296875 -27.4514636993408 2 86 "Ilha de Santa Catarina"
"8" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4095687866211 -27.5663089752197 2 87 "Ilha de Santa Catarina"
"9" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4967765808105 -27.70703125 2 88 "Ilha de Santa Catarina"
"10" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4858856201172 -27.7669925689697 2 89 "Ilha de Santa Catarina"
"11" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5844230651855 -26.4015617370605 3 91 "Ilha de Sao Francisco"
"12" "Brazil" 132 88.83 70.67 82.4059090909091 -48.6030769348145 -26.4137687683105 3 92 "Ilha de Sao Francisco"
"13" "Brazil" 132 88.83 70.67 82.4059090909091 -48.665771484375 -26.2896480560303 3 93 "Ilha de Sao Francisco"
"14" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5397453308105 -26.1703128814697 3 94 "Ilha de Sao Francisco"
"15" "Brazil" 132 88.83 70.67 82.4059090909091 -48.4976081848145 -26.21875 3 95 "Ilha de Sao Francisco"
"16" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5311050415039 -26.3131847381592 3 96 "Ilha de Sao Francisco"
"17" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5680656433105 -26.3796882629395 3 97 "Ilha de Sao Francisco"
"18" "Brazil" 132 88.83 70.67 82.4059090909091 -48.5844230651855 -26.4015617370605 3 98 "Ilha de Sao Francisco"
"19" "Brazil" 132 88.83 70.67 82.4059090909091 -45.26025390625 -23.88916015625 4 100 "Ilha de Sao Sebastiao"
"20" "Brazil" 132 88.83 70.67 82.4059090909091 -45.2608871459961 -23.9413089752197 4 101 "Ilha de Sao Sebastiao"
"21" "Brazil" 132 88.83 70.67 82.4059090909091 -45.3025360107422 -23.9147453308105 4 102 "Ilha de Sao Sebastiao"
"22" "Brazil" 132 88.83 70.67 82.4059090909091 -45.412841796875 -23.9349594116211 4 103 "Ilha de Sao Sebastiao"
"23" "Brazil" 132 88.83 70.67 82.4059090909091 -45.451416015625 -23.8956050872803 4 104 "Ilha de Sao Sebastiao"
"24" "Brazil" 132 88.83 70.67 82.4059090909091 -45.3023414611816 -23.7275390625 4 105 "Ilha de Sao Sebastiao"
"25" "Brazil" 132 88.83 70.67 82.4059090909091 -45.2722663879395 -23.751953125 4 106 "Ilha de Sao Sebastiao"
"26" "Brazil" 132 88.83 70.67 82.4059090909091 -45.2490692138672 -23.7826156616211 4 107 "Ilha de Sao Sebastiao"
"27" "Brazil" 132 88.83 70.67 82.4059090909091 -45.2331047058105 -23.8253898620605 4 108 "Ilha de Sao Sebastiao"
"28" "Brazil" 132 88.83 70.67 82.4059090909091 -45.2502937316895 -23.85302734375 4 109 "Ilha de Sao Sebastiao"
"29" "Brazil" 132 88.83 70.67 82.4059090909091 -45.26025390625 -23.88916015625 4 110 "Ilha de Sao Sebastiao"
"30" "Brazil" 132 88.83 70.67 82.4059090909091 -44.1292953491211 -23.1418952941895 5 112 "Ilha Grande"
"31" "Brazil" 132 88.83 70.67 82.4059090909091 -44.0980491638184 -23.1693344116211 5 113 "Ilha Grande"
